id,serial,modelo,precio_costo_usd,envios_repuestos,precio_venta_usd,sucursal,condicion,procesador,slots,tipo_ram,ram,ssd,hdd,so,pantalla,resolucion,placa_video,vram,teclado_retro,idioma_teclado,color,bateria,duracion,garantia_update,garantia_oficial,fallas,disponible,ingreso,created_at,updated_at,marca,refresh,touchscreen
89,C02D91CBMD6T,MacBook Pro 2019 A2141 (12),657,182,1.100,LA PLATA,USADA,i9-9980HK 8C,,DDR4,64GB,1TB,,MacOS Sequoia 15.3.1,16'',3072x1920,AMD Radeon PRO 5500M ,8GB,SI,Inglés,Silver,,5-6HS,3 meses,,Marcas en la tapa,TRUE,,,,Apple,,FALSE
90,C02FX0UMMD6T/K33,MacBook Pro 2019 A2141 (9),657,181,1.100,LA PLATA,USADA,i9-9980HK 8C,,DDR4,64GB,1TB,,MacOS Sequoia 15.3.1,16'',3072x1920,AMD Radeon PRO 5500M ,8GB,SI,Inglés,Silver,,5-6HS, 3 meses,,"Vinilo tapa, fer dice que tiene marcas en la pantalla pero para mi es normal",TRUE,,,,Apple,,FALSE
91,C02D3151MD6T,MacBook Pro 2019 A2141 (1),657,181,1.250,MITRE,USADA, i9-9980HK 8C,,DDR4,64GB,2TB,,MacOS Sonoma 14.5,16'',3072x1920,AMD Radeon PRO 5600M ,8GB,SI,Inglés,Silver,,6-7HS,3 meses,,"Marca sol en la tapa, vinilo en el topcase y pad",TRUE,,,,Apple,,FALSE
92,QHJK34LFH2,MacBook Pro A2485 (2),1.300,0,1.380,LA PLATA,USADA,M1 Pro 10-core,,LPDDR5,16GB,1TB,,MacOS Sequoia 15.4.1,"16,2""",3456x2234,16-core GPU,,SI,Inglés,,,9-10HS,3 meses,,"Tiene marcas del teclado en la pantalla, bastante visibles",TRUE,,,,Apple,,FALSE
93,8CG7125914,HP EliteDesk 800 G3,64,84,200,LA PLATA,PC ESCRITORIO,i5-7500T,,DDR4,20GB,256GB,,,,,Intel HD Graphics 630,,,,Negra,,,3 meses,,,TRUE,,,,Apple,,FALSE
94,,Dell Optiplex 7040,64,114,270,LA PLATA,PC ESCRITORIO,i7-6700T,2,DDR4,16GB,256GB,500GB,WIN10,,FHD,Intel HD Graphics 530,,,,Negra,,,3 meses,,#N/A,TRUE,,,,HP,,FALSE
95,,PC MSI PRO H510M,300,56,500,LA PLATA,PC ESCRITORIO,i5-10400,,DDR4,16GB,240GB,1TB,WIN11,-,FHD,NVIDIA GeForce RTX 2060,6GB,-,-,Negra,,-,3 meses,,,TRUE,,,,Dell,,FALSE
96,,PC MSI PRO H410M,500,79,700,LA PLATA,PC ESCRITORIO,i7-10700F,,DDR4,16GB,256GB,1TB,WIN11,-,FHD,NVIDIA GeForce RTX 3060 ,12GB,-,-,Negra,,-,3 meses,,,TRUE,,,,MSI,,FALSE
97,123459,PC GAMER ASUS ROG STRIX,600,20,700,LA PLATA,PC ESCRITORIO,Core™ i5-11400F,4,DDR4,16GB,512GB,,WIN11,-,FHD,NVIDIA GeForce RTX 3060 Ti,8GB,-,-,Negra,0%,-,3 meses,,,TRUE,,,,MSI,,FALSE
98,9X31HH2,Dell Latitude 7389,89,82,330,LA PLATA,EN PREPARACIÓN,i7-7600U,,LPDDR3,16GB,256GB,,WIN11,"13,3'' touch",FHD,Intel HD Graphics 620,1GB,SI,Inglés,Negra,73%,,3 meses,,,TRUE,,,,Asus,,FALSE
99,...D001725,Gateway GWTC1427,300,0,440,LA PLATA,EN PREPARACIÓN,i5-1235U,,LPDDR4,8GB,512GB,,WIN11,14'' Touch,FHD,Intel UHD Graphics  ,,NO,Ingles,Black,100%,,6 meses,,,TRUE,,,,Dell,,FALSE
100,FVFZW1E4L413,MacBook Pro 2019 A2159 (7),151,97,550,LA PLATA,OTRO,"i7 1,7 GHz",,LPDDR3,16 GB,250GB,,MacOS,"13,3''",FHD,Intel Iris Plus Graphics 645,"1,5GB",SI,Ingles,Silver,100%,,3 meses,,marcas en la tapa,TRUE,,,,Gateway,,FALSE
101,K2107N0161602,MSI Modern 14 B10MW (1),350,50,480,LA PLATA,REPARACION,i5-10210U,,DDR4,16GB,256GB,,WIN10,14'',FHD,Intel UHD Graphics  ,,,Ingles,,100%,5-6HS,6 meses,,,TRUE,,,,Apple,,FALSE
102,5CG6221DRS,HP EliteBook 820 G3,100,0,200,LA PLATA,REPARACION,i5-6300U,,DDR4,16GB,256GB,,WIN10,14'',FHD,Intel HD Graphics 520,,NO,Ingles,Silver,100%,,3 meses,,Bios bloqueada,TRUE,,,,MSI,,FALSE
103,PC0PXQW5,Lenovo Thinkpad X270,70,0,,LA PLATA,REPARACION,i5-6300U,,DDR4,8GB,256GB,,,"12,5' ",HD,Intel HD Graphics 520,,NO,Español,Gris,14%,,3 meses,,"Teclado roto, estetica mal, marcas pantalla",TRUE,,,,HP,,FALSE
104,PC0NQPAG,Lenovo Thinkpad X270,70,0,,LA PLATA,REPARACION,i5-6300U,,DDR4,8GB,256GB,,,"12,5' ",HD,Intel HD Graphics 520,,NO,Español,Gris,60%,,3 meses,,"No funciona el teclado, esta partido el case",TRUE,,,,Lenovo,,FALSE
105,92C3633,Dell Latitude 7400,100,0,,LA PLATA,REPARACION,i5-8365U,,DDR4,8GB,256GB,,,14'' ,FHD,Intel UHD Graphics 620,,NO,Español,Gris,,,3 meses,,"Bios bloqueada, pintura levantada en la parte de adelante, tapa  rayada",TRUE,,,,Lenovo,,FALSE
